"artifact_id","title","original_filename","published_filename","category","origin","status","size_bytes","sha256","github_pages_url"
"27","RhymeWeave V4 • Image Prompt Creator","index(2).html","27-rhymeweave-v4-image-prompt-creator-library.html","Image & Prompt","Saved HTML Collection","READY","65334","f60953e8b9542a09a8639b3d6dae3764f6d0b0d1b8876ce8756de4a0870acd5a","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/27-rhymeweave-v4-image-prompt-creator-library.html"
"28","WORD WEAVER — Linguistic Analysis Engine","linguistic-engine.html","28-linguistic-engine.html","Rhyme & Writing","Saved HTML Collection","READY","50099","d9974bc35e29e77ebe14429394c6c41da49db4e2abb5f95c528359357148f6bf","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/28-linguistic-engine.html"
"29","Lyric Sorter Hybrid","lyric_sorter_hybrid_ipad_patched.html","29-lyric-sorter-hybrid-ipad-patched.html","Sort & Clean","Saved HTML Collection","CANONICAL · COPIES PRESERVED","18390","438914044bf77c216092c40560a7b0fe9936b69776f9de0771eb7945cf719e06","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/29-lyric-sorter-hybrid-ipad-patched.html"
"30","Lyric Sorter Hybrid","lyric_sorter_hybrid_ipad_patched(1).html","30-lyric-sorter-hybrid-ipad-patched-copy-1.html","Sort & Clean","Saved HTML Collection","IDENTICAL COPY · PRESERVED","18390","438914044bf77c216092c40560a7b0fe9936b69776f9de0771eb7945cf719e06","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/30-lyric-sorter-hybrid-ipad-patched-copy-1.html"
"31","Lyric Sorter Hybrid","lyric_sorter_hybrid_ipad.html","31-lyric-sorter-hybrid-ipad.html","Sort & Clean","Saved HTML Collection","CANONICAL · COPIES PRESERVED","16681","31b0cf9c06ca2964930e53cc8edd9d6bc2ddd90b4e0ca8041edfe5f0d2329887","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/31-lyric-sorter-hybrid-ipad.html"
"32","Lyric Sorter Hybrid","lyric_sorter_hybrid_ipad(1).html","32-lyric-sorter-hybrid-ipad-copy-1.html","Sort & Clean","Saved HTML Collection","IDENTICAL COPY · PRESERVED","16681","31b0cf9c06ca2964930e53cc8edd9d6bc2ddd90b4e0ca8041edfe5f0d2329887","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/32-lyric-sorter-hybrid-ipad-copy-1.html"
"33","Lyric Sorter iPad Fixed Upload","lyric_sorter_ipad_fixed_upload.html","33-lyric-sorter-ipad-fixed-upload.html","Sort & Clean","Saved HTML Collection","READY","13818","c6b421985b2e6aa9f3a4fb63cd0726818651d8a321d8318ebc69da9f80811519","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/33-lyric-sorter-ipad-fixed-upload.html"
"34","Heavy Clean Sorter iPad","lyric_sorter_ipad_heavy_clean.html","34-lyric-sorter-ipad-heavy-clean.html","Sort & Clean","Saved HTML Collection","READY","13755","decc05af71a9b2589c9ac6c758feed56d89921ef1caea0b8add18362ea8a3226","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/34-lyric-sorter-ipad-heavy-clean.html"
"35","Ultra Strict Sorter iPad","lyric_sorter_ipad_ultra_strict.html","35-lyric-sorter-ipad-ultra-strict.html","Sort & Clean","Saved HTML Collection","READY","17592","05f43f918b69b5d1f774ebe95ecbac895ae6a3e9ad0c1a4db5d98e9bde2eee8d","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/35-lyric-sorter-ipad-ultra-strict.html"
"36","Lyric Sorter Upgrade","lyric_sorter_upgrade.html","36-lyric-sorter-upgrade.html","Sort & Clean","Saved HTML Collection","READY","17480","fe0e478cc8e8879b09a17b0e595e7a08de57bce0a89c50c63569f908f88c04ee","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/36-lyric-sorter-upgrade.html"
"37","Master A–Z Grail Index","master_az_grail_index_clickable.html","37-master-az-grail-index-clickable.html","Inspect & Report","Saved HTML Collection","READY","17967","8f13914b2702a45bfdca72a233146e1f9aa0e5dface3962d1fee7ca246149d3b","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/37-master-az-grail-index-clickable.html"
"38","Master A–Z Work Hub","MASTER_AZ_WORK_HUB.html","38-master-az-work-hub.html","Hub & Archive","Saved HTML Collection","READY","15014","ef9aa577c5634ea9b51a16bad000db374ae8627d7d4f5fdf5254fa5092673d0e","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/38-master-az-work-hub.html"
